"Model","RMSE","MAE","R2"
"Mean Baseline",178.315180530189,141.198566932636,-0.000102329915556032
"Full MLR",102.747298871251,76.1312773812111,0.66794606526145
"Stepwise MLR",102.747298871251,76.1312773812111,0.66794606526145
"LASSO",102.774012200722,76.1051774561456,0.667773381028363
